"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"904",0,0.1,0.45,0.478548192277045,0.423579614524587,22563,0.000930278178181372,0.000527350746232454,889,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,2,2,1,216,63,22,22,103,94,65,23
"905",0,0.1,0.45,0.501505376344086,0.457364016612972,17312,0.000644124776052066,0.000336710142920888,915,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,2,2,2,1,332,198,831,13,183,150,420,10
"906",0,0.1,0.45,0.49402339469977,0.466517177479593,24897,0.000284337759079087,0.000512780087453627,942,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,2,2,2,2,358,350,330,122,192,191,291,85
"907",0,0.1,0.45,0.50783374772687,0.465464127360644,20792,0.000118695150195719,0.000492237977087761,924,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,2,1,53,811,865,15,51,155,8,14
"908",0,0.1,0.45,0.48176557082652,0.453577222477945,24464,0.000237804169851197,0.000276498458495111,934,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,1,2,3,2,29,286,229,234,22,264,158,249
"909",0,0.1,0.45,0.475721908158644,0.428197173360402,20425,0.000128986288342792,0.000332675053338804,896,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,2,1,2,796,453,35,701,4,1,43,380
"910",0,0.1,0.45,0.47969761196534,0.431563207406685,23593,0.000318864238334724,0.000363534722281417,897,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,3,2,2,2,377,259,642,546,203,102,51,358
"1001",0,0.2,0,0.643829952818717,0.0822305386897152,1543,0.756498212847949,0.190769326848046,42,0.0403363862074912,0.179677936993539,0.18893505372107,0.132159558497369,4,4,5,5,2,4,1,2,4,1,9,39,6,1,5,28
"1002",0,0.2,0,0.600255054597625,0.0139812961702142,957,0.0309025091702877,0.0040866804503085,19,0.0170271937735379,0.0450873232912272,0.0549061045981944,0.0544610132463276,5,4,4,5,1,2,2,1,1,1,2,2,1,1,2,2
"1003",0,0.2,0,0.731971649484536,0.0766161330760546,1999,0.384396897666418,0.195592544457538,60,0.188767867768183,0.188694991730154,0.0258317953441292,0.166689763125032,4,5,5,4,4,4,0,3,7,59,1,51,6,45,1,39
"1004",0,0.2,0,0.678101024733087,0.0693746643219234,1380,0.72845867898468,0.274934291612698,38,0.120420134952292,0.120878810808063,0.0249266888480634,0.0589201848488301,4,5,4,4,4,1,1,3,1,30,13,2,1,23,10,2
"1005",0,0.2,0,0.674626288659794,0.0561552599325781,1886,0.190283089335583,0.0828957684893575,60,0.162714842986315,0.0520855542737991,0.144881178531796,0.181218430260196,5,4,4,4,3,1,4,4,9,33,12,8,9,32,10,7
"1006",0,0.2,0,0.68934752378461,0.0537257351136854,1409,0.170095518168388,0.0554535103374717,37,0.0209300255868584,0.140211491845548,0.105591996852309,0.16158704017289,4,5,5,4,1,3,1,3,23,6,1,1,19,5,1,1
"1007",0,0.2,0,0.621905012404831,0.0931309981410044,2223,0.807244941378157,0.25189220075875,73,0.161496677808464,0.195615145051852,0.191586743295193,0.152546371286735,5,5,4,4,1,2,4,4,11,11,2,1,9,9,2,1
"1008",0,0.2,0,0.668516032222398,0.0511300089954272,1523,0.625535532831685,0.189831569600125,52,0.0487498781178147,0.158402085164562,0.0680124705657363,0.194412500131875,5,4,4,4,1,3,1,4,1,10,14,1,1,11,14,1
"1009",0,0.2,0,0.688214810199813,0.0461849854862202,1797,0.423991545785917,0.128270095636856,46,0.0643018357921392,0.143785500805825,0.0581746773794293,0.186453962652013,4,4,5,5,1,4,2,2,12,1,4,12,14,1,7,25
"1010",0,0.2,0,0.608263465447154,0.0191045352619652,1490,0.239592280420492,0.017335798068942,32,0.0887447175569832,0.0268152300734073,0.0781315579544753,0.0738631543703377,4,4,4,4,4,0,2,2,6,1,4,4,6,1,4,4
"1101",0,0.2,0.05,0.509268195809751,0.0745117518410611,5253,0.024955447364322,0.00415795949069452,135,0.0403363862074912,0.179677936993539,0.18893505372107,0.132159558497369,4,4,5,5,1,3,2,1,15,6,2,19,12,6,2,15
"1102",0,0.2,0.05,0.460692121270766,0.0571512674311631,5631,0.000670985027266602,0.000679320399622488,121,0.0170271937735379,0.0450873232912272,0.0549061045981944,0.0544610132463276,5,4,4,5,2,1,2,1,31,8,86,8,29,9,79,11
"1103",0,0.2,0.05,0.54697263746831,0.0893576112064591,5694,0.153282979566343,0.0438530064941426,155,0.188767867768183,0.188694991730154,0.0258317953441292,0.166689763125032,4,5,5,4,3,4,1,2,3,19,10,35,3,26,23,32
"1104",0,0.2,0.05,0.49084161187631,0.0793341606064928,6143,0.072379345261877,0.012210388301651,134,0.120420134952292,0.120878810808063,0.0249266888480634,0.0589201848488301,4,5,4,4,4,1,2,2,114,7,39,6,56,6,71,5
